open_time,open,high,low,close,volume
1779220800000,4487.23,4498.93,4482.03,4491.76,318.0062
1779235200000,4491.75,4510.16,4460.0,4469.4,1067.3868
1779249600000,4469.4,4492.58,4463.16,4481.88,570.3328
1779264000000,4481.89,4503.46,4477.73,4500.0,471.6333
1779278400000,4499.99,4550.0,4470.67,4526.82,965.1434
1779292800000,4526.85,4546.24,4522.82,4541.96,640.1494
1779307200000,4541.96,4545.49,4530.65,4541.5,235.7276
1779321600000,4541.75,4564.0,4523.33,4523.98,314.2951
1779336000000,4523.5,4533.99,4510.67,4515.69,356.268
1779350400000,4515.7,4537.49,4503.99,4510.5,525.7499
1779364800000,4510.66,4519.31,4489.01,4509.71,667.9619
1779379200000,4510.18,4553.94,4510.18,4537.56,543.281
1779393600000,4537.91,4540.61,4527.96,4529.71,156.6669
1779408000000,4529.72,4534.14,4516.24,4524.26,133.6605
1779422400000,4524.52,4529.45,4505.79,4516.86,300.6359
1779436800000,4517.03,4530.52,4508.51,4516.03,381.2082
1779451200000,4516.04,4530.99,4488.0,4516.48,584.8877
1779465600000,4516.48,4523.38,4501.99,4505.62,529.292
1779480000000,4505.62,4509.14,4498.27,4499.27,468.2326
1779494400000,4499.28,4511.08,4498.27,4508.63,148.3388
1779508800000,4508.63,4512.0,4499.61,4502.0,207.7634
1779523200000,4501.99,4504.08,4497.67,4499.75,181.5197
1779537600000,4499.76,4510.0,4498.1,4508.44,180.0578
1779552000000,4508.45,4515.8,4506.64,4515.62,192.1437
1779566400000,4515.61,4529.03,4514.59,4528.07,566.6688
1779580800000,4528.07,4545.58,4528.01,4539.24,1157.502
1779595200000,4539.24,4548.36,4538.0,4541.26,277.1215
1779609600000,4541.26,4543.95,4535.48,4535.49,321.6951
1779624000000,4535.49,4535.49,4517.0,4523.0,339.9907
1779638400000,4522.99,4527.29,4517.0,4518.47,147.7164
1779652800000,4518.48,4573.63,4517.01,4561.78,1566.7256
1779667200000,4561.79,4573.74,4551.01,4552.9,311.6301
1779681600000,4553.21,4559.84,4543.78,4558.09,367.1987
1779696000000,4558.16,4568.48,4548.05,4562.0,431.5681
1779710400000,4562.0,4567.98,4547.79,4563.33,367.9746
1779724800000,4563.33,4569.99,4557.56,4561.1,99.7865
1779739200000,4561.1,4571.0,4548.36,4551.68,290.4899
1779753600000,4551.4,4551.4,4521.21,4537.44,603.6714
1779768000000,4537.63,4538.24,4520.0,4534.11,315.7673
1779782400000,4534.05,4536.95,4503.41,4506.43,1331.2619
1779796800000,4506.54,4527.43,4500.8,4506.27,756.757
1779811200000,4506.61,4511.23,4484.71,4509.12,513.0639
1779825600000,4509.34,4527.63,4500.75,4520.62,465.6696
1779840000000,4520.36,4526.08,4501.35,4501.56,344.3693
1779854400000,4501.56,4518.2,4475.76,4479.81,939.8807
1779868800000,4479.8,4496.31,4431.25,4433.37,2150.9611
1779883200000,4433.68,4467.61,4410.5,4442.1,2029.2242
1779897600000,4442.23,4462.02,4440.85,4455.8,672.0683
1779912000000,4455.81,4466.1,4446.18,4448.64,418.9355
1779926400000,4448.63,4459.55,4375.0,4379.95,2398.0579
1779940800000,4379.94,4401.39,4374.0,4394.79,786.2777
1779955200000,4395.05,4406.84,4382.63,4391.98,516.9715
1779969600000,4391.52,4480.0,4384.61,4476.69,2838.675
1779984000000,4476.78,4507.0,4473.58,4491.24,778.7638
1779998400000,4491.24,4493.01,4482.21,4487.89,274.8455
1780012800000,4487.6,4511.03,4485.58,4494.16,1489.8252
